Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
2014,Lupita Nyong'o,12 Years a Slave,Best Supporting Actress,"Mexico City, Mexico",1-Mar-83,Black,Na,Na,http://www.nndb.com/people/570/000380427/,finalized
1929,Janet Gaynor,7th Heaven,Best Actress,"Philadelphia, Pa",6-Oct-06,White,Na,Straight,http://www.nndb.com/people/129/000043000/,finalized
2002,Jennifer Connelly,A Beautiful Mind,Best Supporting Actress,"Catskill Mountains, Ny",12-Dec-70,White,Jewish,Straight,http://www.nndb.com/people/240/000026162/,finalized
1948,Ronald Colman,A Double Life,Best Actor,"Richmond, Surrey, England",9-Feb-1891,White,Na,Straight,http://www.nndb.com/people/619/000042493/,finalized
1989,Kevin Kline,A Fish Called Wanda,Best Supporting Actor,"St. Louis, Mo",24-Oct-47,White,Roman Catholic,Straight,http://www.nndb.com/people/819/000024747/,finalized
1931,Lionel Barrymore,A Free Soul,Best Actor,"Philadelphia, Pa",28-Apr-1878,White,Roman Catholic,Straight,http://www.nndb.com/people/741/000043612/,finalized
1950,Joseph L. Mankiewicz,A Letter to Three Wives,Best Director,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,Straight,http://www.nndb.com/people/723/000032627/,finalized
1967,Paul Scofield,A Man For All Seasons,Best Actor,"Hurstpierpoint, West Sussex, England",21-Jan-22,White,Na,Straight,http://www.nndb.com/people/950/000033851/,finalized
1985,Peggy Ashcroft,A Passage to India,Best Supporting Actress,"Croydon, Surrey, England",22-Dec-07,White,Agnostic,Straight,http://www.nndb.com/people/816/000063627/,finalized
1966,Shelley Winters,A Patch of Blue,Best Supporting Actress,"St. Louis, Mo",18-Aug-20,White,Jewish,Straight,http://www.nndb.com/people/859/000022793/,finalized
1952,George Stevens,A Place in the Sun,Best Director,"Oakland, Ca",18-Dec-04,White,Na,Straight,http://www.nndb.com/people/382/000044250/,finalized
1952,Karl Malden,A Streetcar Named Desire,Best Supporting Actor,"Chicago, Il",22-Mar-12,White,Na,Straight,http://www.nndb.com/people/553/000022487/,finalized
1966,Martin Balsam,A Thousand Clowns,Best Supporting Actor,"Bronx, Ny",4-Nov-19,White,Na,Straight,http://www.nndb.com/people/111/000063919/,finalized
1974,Glenda Jackson,A Touch of Class,Best Actress,"Birkenhead, Cheshire, England",9-May-36,White,Na,Straight,http://www.nndb.com/people/799/000063610/,finalized
1946,James Dunn,A Tree Grows in Brooklyn,Best Supporting Actor,New York City,2-Nov-01,White,Na,Straight,http://www.nndb.com/people/125/000063933/,finalized
2003,Chris Cooper,Adaptation,Best Supporting Actor,"Kansas City, Mo",9-Jul-51,White,Na,Straight,http://www.nndb.com/people/130/000025055/,finalized
1999,James Coburn,Affliction,Best Supporting Actor,"Laurel, Ne",31-Aug-28,White,Na,Straight,http://www.nndb.com/people/764/000022698/,finalized
1971,Helen Hayes,Airport,Best Supporting Actress,"Washington, Dc",10-Oct-00,White,Na,Straight,http://www.nndb.com/people/908/000031815/,finalized
1975,Ellen Burstyn,Alice Doesn't Live Here Anymore,Best Actress,"Detroit, Mi",7-Dec-32,White,Sufism,Straight,http://www.nndb.com/people/650/000023581/,finalized
1951,George Sanders,All About Eve,Best Supporting Actor,"St. Petersburg, Russia",3-Jul-06,White,Na,Straight,http://www.nndb.com/people/728/000043599/,finalized
1931,Lewis Milestone,All Quiet on the Western Front,Best Director,"Chisinau, Moldova",30-Sep-1895,White,Na,Straight,http://www.nndb.com/people/320/000043191/,finalized
1950,Broderick Crawford,All The King's Men,Best Actor,"Philadelphia, Pa",9-Dec-11,White,Na,Straight,http://www.nndb.com/people/744/000063555/,finalized
1977,Jason Robards,All the President's Men,Best Supporting Actor,"Chicago, Il",26-Jul-22,White,Na,Straight,http://www.nndb.com/people/224/000032128/,finalized
1985,F. Murray Abraham,Amadeus,Best Actor,"Pittsburgh, Pa",24-Oct-39,Middle Eastern,Na,Straight,http://www.nndb.com/people/123/000024051/,finalized
2000,Kevin Spacey,American Beauty,Best Actor,"South Orange, Nj",26-Jul-59,White,Na,Matter of Dispute,http://www.nndb.com/people/591/000023522/,finalized
1983,"Lou Gossett, Jr.",An Officer and a Gentleman,Best Supporting Actor,"Brooklyn, Ny",27-May-36,Black,Na,Straight,http://www.nndb.com/people/906/000023837/,finalized
1957,Ingrid Bergman,Anastasia,Best Actress,"Stockholm, Sweden",29-Aug-15,White,Na,Straight,http://www.nndb.com/people/836/000024764/,finalized
1978,Diane Keaton,Annie Hall,Best Actress,"Los Angeles, Ca",5-Jan-46,White,Atheist,Straight,http://www.nndb.com/people/879/000022813/,finalized
1937,Gale Sondergaard,Anthony Adverse,Best Supporting Actress,"Litchfield, Mn",15-Feb-1899,White,Na,Straight,http://www.nndb.com/people/062/000063870/,finalized
1982,John Gielgud,Arthur,Best Supporting Actor,"London, England",14-Apr-04,White,Na,Gay,http://www.nndb.com/people/589/000033490/,finalized
1997,Jack Nicholson,As Good as It Gets,Best Actor,New York City,22-Apr-37,White,Atheist,Straight,http://www.nndb.com/people/722/000022656/,finalized
1933,Frank Borzage,Bad Girl,Best Director,"Salt Lake City, Ut",23-Apr-1894,White,Roman Catholic,Straight,http://www.nndb.com/people/292/000044160/,finalized
