vote_average,title,release_date,id,original_language,original_title,popularity,poster_path,video
9.0,The Insurrection,2020-05-04,702534,en,The Insurrection,28.645,/2XvsAalpQ65dsmtWcYv9NxdAkGl.jpg,False
8.7,The Shawshank Redemption,1994-09-23,278,en,The Shawshank Redemption,40.718,/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg,False
8.7,The Godfather,1972-03-14,238,en,The Godfather,36.775,/iVZ3JAcAjmguGPnRNfWFOtLHOuY.jpg,False
8.6,The Godfather: Part II,1974-12-20,240,en,The Godfather: Part II,24.46,/amvmeQWheahG3StKwIE1f7jRnkZ.jpg,False
8.6,Schindler's List,1993-11-30,424,en,Schindler's List,28.013,/c8Ass7acuOe4za6DhSattE359gr.jpg,False
8.5,The Green Mile,1999-12-10,497,en,The Green Mile,26.084,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,False
8.5,Pulp Fiction,1994-09-10,680,en,Pulp Fiction,38.138,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,False
8.5,Justice League Dark: Apokolips War,2020-05-05,618344,en,Justice League Dark: Apokolips War,95.355,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,False
8.4,Spider-Man: Into the Spider-Verse,2018-12-06,324857,en,Spider-Man: Into the Spider-Verse,35.803,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,False
8.4,The Lord of the Rings: The Return of the King,2003-12-01,122,en,The Lord of the Rings: The Return of the King,35.723,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,False
8.4,Fight Club,1999-10-15,550,en,Fight Club,32.85,/bptfVGEQuv6vDTIMVCHjJ9Dz8PX.jpg,False
8.4,Forrest Gump,1994-07-06,13,en,Forrest Gump,32.527,/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg,False
8.4,Psycho,1960-06-22,539,en,Psycho,28.734,/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg,False
8.4,The Dark Knight,2008-07-16,155,en,The Dark Knight,47.31,/uOYWdGpymxSgPMkHo3SgINpWUgk.jpg,False
