vote_average,Film,release_date,id,original_language,original_title,popularity,poster_path,video
9,The Insurrection,5/4/2020,702534,en,The Insurrection,28.645,/2XvsAalpQ65dsmtWcYv9NxdAkGl.jpg,FALSE
8.7,The Shawshank Redemption,9/23/1994,278,en,The Shawshank Redemption,40.718,/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg,FALSE
8.7,The Godfather,3/14/1972,238,en,The Godfather,36.775,/iVZ3JAcAjmguGPnRNfWFOtLHOuY.jpg,FALSE
8.6,The Godfather: Part II,12/20/1974,240,en,The Godfather: Part II,24.46,/amvmeQWheahG3StKwIE1f7jRnkZ.jpg,FALSE
8.6,Schindler's List,11/30/1993,424,en,Schindler's List,28.013,/c8Ass7acuOe4za6DhSattE359gr.jpg,FALSE
8.5,The Green Mile,12/10/1999,497,en,The Green Mile,26.084,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,FALSE
8.5,Pulp Fiction,9/10/1994,680,en,Pulp Fiction,38.138,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,FALSE
8.5,Justice League Dark: Apokolips War,5/5/2020,618344,en,Justice League Dark: Apokolips War,95.355,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,FALSE
8.4,Spider-Man: Into the Spider-Verse,12/6/2018,324857,en,Spider-Man: Into the Spider-Verse,35.803,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,FALSE
8.4,The Lord of the Rings: The Return of the King,12/1/2003,122,en,The Lord of the Rings: The Return of the King,35.723,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,FALSE
8.4,Fight Club,10/15/1999,550,en,Fight Club,32.85,/bptfVGEQuv6vDTIMVCHjJ9Dz8PX.jpg,FALSE
8.4,Forrest Gump,7/6/1994,13,en,Forrest Gump,32.527,/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg,FALSE
8.4,Psycho,6/22/1960,539,en,Psycho,28.734,/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg,FALSE
8.4,The Dark Knight,7/16/2008,155,en,The Dark Knight,47.31,/uOYWdGpymxSgPMkHo3SgINpWUgk.jpg,FALSE
8.4,Whiplash,10/10/2014,244786,en,Whiplash,30.909,/qq8xf2SQqHifUUyc0k6Hj1065f1.jpg,FALSE
8.4,The Empire Strikes Back,5/20/1980,1891,en,The Empire Strikes Back,29.517,/7BuH8itoSrLExs2YZSsM01Qk2no.jpg,FALSE
8.3,Léon: The Professional,9/14/1994,101,en,Léon: The Professional,31.525,/gbw7Tm7SUyiTMhI2B8yHk4OcT9I.jpg,FALSE
8.3,Back to the Future,7/3/1985,105,en,Back to the Future,31.141,/7lyBcpYB0Qt8gYhXYaEZUNlNQAv.jpg,FALSE
8.3,Se7en,9/22/1995,807,en,Se7en,35.952,/6yoghtyTpznpBik8EngEmJskVUO.jpg,FALSE
8.3,Call Me by Your Name,9/1/2017,398818,en,Call Me by Your Name,30.295,/tcNniniS4rfqrLH0oORikJfnIwY.jpg,FALSE
8.3,Avengers: Endgame,4/24/2019,299534,en,Avengers: Endgame,44.48,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,FALSE
8.3,The Lord of the Rings: The Fellowship of the Ring,12/18/2001,120,en,The Lord of the Rings: The Fellowship of the Ring,43.848,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,FALSE
8.3,Interstellar,11/5/2014,157336,en,Interstellar,63.353,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,FALSE
8.3,The Lord of the Rings: The Two Towers,12/18/2002,121,en,The Lord of the Rings: The Two Towers,28.462,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,FALSE
8.3,Green Book,11/16/2018,490132,en,Green Book,27.122,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,FALSE
8.3,Inception,7/15/2010,27205,en,Inception,96.345,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,FALSE
8.3,Avengers: Infinity War,4/25/2018,299536,en,Avengers: Infinity War,75.083,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,FALSE
8.2,Reservoir Dogs,9/2/1992,500,en,Reservoir Dogs,24.669,/g7spS2Y4SZoQoC6Hn7zoqEqdYqR.jpg,FALSE
8.2,Joker,10/2/2019,475557,en,Joker,86.14,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,FALSE
8.2,Memento,10/11/2000,77,en,Memento,25.697,/uprP8rtOgMYJQ2h3ldDFvGsaBgH.jpg,FALSE
8.2,Taxi Driver,2/9/1976,103,en,Taxi Driver,23.96,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,FALSE
8.2,Coco,10/27/2017,354912,en,Coco,36.05,/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,FALSE
8.2,The Shining,5/23/1980,694,en,The Shining,34.82,/b6ko0IKC8MdYBBPkkA1aBPLe2yz.jpg,FALSE
8.2,Inglourious Basterds,8/18/2009,16869,en,Inglourious Basterds,25.066,/jTLuJbn90WrKFDQSqnRm0b42r8t.jpg,FALSE
8.2,Star Wars,5/25/1977,11,en,Star Wars,63.871,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,FALSE
8.2,Gladiator,5/1/2000,98,en,Gladiator,38.282,/hY0z0HghtolIKAy6wpRDEDkvWzL.jpg,FALSE
8.1,The Matrix,3/30/1999,603,en,The Matrix,40.759,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,FALSE
8.1,Lion,1/20/2016,334543,en,Lion,26.899,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,FALSE
8.1,The Imitation Game,11/14/2014,205596,en,The Imitation Game,29.181,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,FALSE
8.1,Scoob!,5/15/2020,385103,en,Scoob!,214.004,/zG2l9Svw4PTldWJAzC171Y3d6G8.jpg,FALSE
8.1,Hacksaw Ridge,10/7/2016,324786,en,Hacksaw Ridge,26.693,/vVJRemwt0WyqnwLMIAaa2FNZBME.jpg,FALSE
8.1,Jojo Rabbit,10/18/2019,515001,en,Jojo Rabbit,79.536,/7GsM4mtM0worCtIVeiQt28HieeN.jpg,FALSE
8.1,Saving Private Ryan,7/24/1998,857,en,Saving Private Ryan,27.553,/JC8KQ2BXaAIFEU8zEuakiwUQSr.jpg,FALSE
8.1,2001: A Space Odyssey,4/9/1968,62,en,2001: A Space Odyssey,30.186,/zmmYdPa8Lxx999Af9vnVP4XQ1V6.jpg,FALSE
8.1,Scarface,12/8/1983,111,en,Scarface,23.599,/nGY6NnlDsWaRKAycWUgXanqLxia.jpg,FALSE
8.1,Alien,5/25/1979,348,en,Alien,35.183,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,FALSE
8.1,Harry Potter and the Deathly Hallows: Part 2,7/7/2011,12445,en,Harry Potter and the Deathly Hallows: Part 2,42.472,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,FALSE
8.1,Shutter Island,2/14/2010,11324,en,Shutter Island,26.08,/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg,FALSE
8,Harry Potter and the Prisoner of Azkaban,5/31/2004,673,en,Harry Potter and the Prisoner of Azkaban,38.438,/uDQibffYgssdiqx7izO57wdLc6.jpg,FALSE
8,WALL�E,6/22/2008,10681,en,WALL·E,26.947,/3g8vyePqVatTaUSnrNnrrwguhxM.jpg,FALSE
8,The Greatest Showman,12/20/2017,316029,en,The Greatest Showman,24.813,/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg,FALSE
8,Hidden Figures,12/10/2016,381284,en,Hidden Figures,24.386,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,FALSE
8,Kill Bill: Vol. 1,10/10/2003,24,en,Kill Bill: Vol. 1,25.625,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,FALSE
8,Bohemian Rhapsody,10/24/2018,424694,en,Bohemian Rhapsody,32.365,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,FALSE
8,Return of the Jedi,5/25/1983,1892,en,Return of the Jedi,23.766,/mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,FALSE
8,The Thing,6/25/1982,1091,en,The Thing,25.247,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,FALSE
8,American Beauty,9/15/1999,14,en,American Beauty,30.688,/wby9315QzVKdW9BonAefg8jGTTb.jpg,FALSE
8,Terminator 2: Judgment Day,7/3/1991,280,en,Terminator 2: Judgment Day,29.734,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,FALSE
7.9,Gone Girl,10/1/2014,210577,en,Gone Girl,38.169,/tQf4DUygWo64AOuqgk4jEDCE3Ws.jpg,FALSE
7.9,Inside Out,6/9/2015,150540,en,Inside Out,38.798,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,FALSE
7.9,Toy Story,10/30/1995,862,en,Toy Story,30.637,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,FALSE
